year,RegionName,population,median_value,gross_rent_total,median_income
2015,Breckenridge CO,28891.342857142867,473954.2857142858,1126.750000000002,67670.65714285719
2016,Breckenridge CO,29341.428571428587,508882.8571428573,1260.6500000000012,70741.37142857148
2017,Breckenridge CO,29796.657142857162,538425.7142857144,1350.0500000000009,73763.9428571429
2018,Breckenridge CO,30257.02857142859,562582.8571428573,1394.9500000000005,76738.37142857147
2019,Breckenridge CO,30722.54285714287,581354.2857142859,1395.3500000000004,79664.65714285719
2020,Breckenridge CO,31193.200000000004,594740.0000000001,1351.2500000000005,82542.80000000005
2021,Breckenridge CO,31668.999999999993,602740.0,1262.6500000000008,85372.80000000005
2022,Breckenridge CO,32149.942857142836,605354.2857142857,1129.550000000001,88154.65714285718
2015,Bremerton-Silverdale WA,255580.45000000004,258480.00000000012,1043.4499999999998,62876.59999999997
2016,Bremerton-Silverdale WA,257069.65000000005,263060.0000000002,1076.65,65210.20000000001
2017,Bremerton-Silverdale WA,259321.3500000001,276840.0000000002,1120.3500000000004,68142.80000000003
2018,Bremerton-Silverdale WA,262335.55000000016,299820.00000000023,1174.5500000000006,71674.40000000002
2020,Bremerton-Silverdale WA,270651.4500000005,373380.00000000023,1314.4500000000016,80534.59999999995
2021,Bremerton-Silverdale WA,275953.15000000066,423960.00000000023,1400.1500000000021,85863.19999999987
2022,Bremerton-Silverdale WA,282017.3500000009,483740.0000000002,1496.3500000000029,91790.79999999978
2015,Brenham TX,34277.7142857143,152382.85714285722,774.2285714285711,50861.42857142859
2016,Brenham TX,34461.74285714287,156968.57142857148,812.8857142857141,53681.08571428576
2017,Brenham TX,34663.48571428572,162997.1428571429,843.9714285714286,55349.17142857148
2018,Brenham TX,34882.942857142865,170468.57142857148,867.4857142857145,55865.685714285755
2019,Brenham TX,35120.11428571429,179382.85714285728,883.4285714285718,55230.62857142859
2020,Brenham TX,35375.00000000001,189740.0000000002,891.8000000000004,53443.999999999985
2021,Brenham TX,35647.600000000006,201540.0000000003,892.6000000000005,50505.79999999994
2022,Brenham TX,35937.914285714294,214782.85714285757,885.8285714285719,46416.02857142845
2015,Brevard NC,32920.37142857143,193794.28571428588,665.8285714285715,45074.57142857145
2016,Brevard NC,33081.514285714286,198622.85714285722,668.6857142857144,44010.9142857143
2017,Brevard NC,33278.228571428575,204765.71428571432,684.9714285714288,44516.82857142859
2018,Brevard NC,33510.51428571429,212222.8571428572,714.6857142857145,46592.314285714296
2019,Brevard NC,33778.37142857144,220994.2857142858,757.8285714285719,50237.371428571445
2020,Brevard NC,34081.80000000002,231080.0000000002,814.4000000000007,55452.00000000002
2021,Brevard NC,34420.80000000002,242480.00000000035,884.400000000001,62236.20000000003
2022,Brevard NC,34795.37142857145,255194.28571428626,967.8285714285727,70589.97142857147
2015,Stamford CT,939488.2571428576,415348.57142857136,1345.2285714285717,84114.97142857146
2016,Stamford CT,943293.5714285718,414945.71428571426,1392.285714285715,86904.9142857143
2017,Stamford CT,945269.7428571433,417071.4285714286,1433.7714285714294,89776.42857142858
2018,Stamford CT,945416.7714285719,421725.71428571426,1469.685714285715,92729.51428571431
